[14.122247696] 2019-11-10 15:47:50,584 - INFO - launcher: Starting sanity checks
[14.498472214] 2019-11-10 15:47:50,584 - INFO - launcher: Checking for python 3.5+
[14.725446701] 2019-11-10 15:47:50,585 - INFO - launcher: Checking console encoding
[14.950275421] 2019-11-10 15:47:50,585 - INFO - launcher: Ensuring we're in the right folder
[15.424489975] 2019-11-10 15:47:50,585 - INFO - launcher: Checks passed.
[15.666484833] 2019-11-10 15:47:50,586 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[22.2196092605590820] 2019-11-10 15:48:12,790 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 54 in _execute: Query: SELECT USER.* FROM USER INNER JOIN USER_SONG ON USER.ID = USER_SONG.ID WHERE USER_SONG.URL = %s, Params: ['https://www.youtube.com/watch?v=2FsnVCLYcrM']
[22.2386693954467773] 2019-11-10 15:48:12,809 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 60 in _execute: [SQL] [EXECUTE] SELECT USER.* FROM USER INNER JOIN USER_SONG ON USER.ID = USER_SONG.ID WHERE USER_SONG.URL = %s
[22.2392275333404541] 2019-11-10 15:48:12,809 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 61 in _execute: [VALUES] [EXECUTE] ['https://www.youtube.com/watch?v=2FsnVCLYcrM']
[22.2411069869995117] 2019-11-10 15:48:12,811 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 53 in _execute: Using adhoc execute, logging for auditing purposes
[22.2414646148681641] 2019-11-10 15:48:12,811 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 54 in _execute: Query: SELECT USER.* FROM USER INNER JOIN USER_SONG ON USER.ID = USER_SONG.ID WHERE USER_SONG.URL = %s, Params: ['https://www.youtube.com/watch?v=AV8N44HzfBQ']
[22.2612109184265137] 2019-11-10 15:48:12,831 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 60 in _execute: [SQL] [EXECUTE] SELECT USER.* FROM USER INNER JOIN USER_SONG ON USER.ID = USER_SONG.ID WHERE USER_SONG.URL = %s
[22.2617404460906982] 2019-11-10 15:48:12,832 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 61 in _execute: [VALUES] [EXECUTE] ['https://www.youtube.com/watch?v=AV8N44HzfBQ']
[22.2635149955749512] 2019-11-10 15:48:12,833 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 53 in _execute: Using adhoc execute, logging for auditing purposes
[22.2638731002807617] 2019-11-10 15:48:12,834 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 54 in _execute: Query: SELECT USER.* FROM USER INNER JOIN USER_SONG ON USER.ID = USER_SONG.ID WHERE USER_SONG.URL = %s, Params: ['https://www.youtube.com/watch?v=CFI3eCkB8LE']
[22.2819952964782715] 2019-11-10 15:48:12,852 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 60 in _execute: [SQL] [EXECUTE] SELECT USER.* FROM USER INNER JOIN USER_SONG ON USER.ID = USER_SONG.ID WHERE USER_SONG.URL = %s
[22.2825107574462891] 2019-11-10 15:48:12,852 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 61 in _execute: [VALUES] [EXECUTE] ['https://www.youtube.com/watch?v=CFI3eCkB8LE']
[22.2842266559600830] 2019-11-10 15:48:12,854 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 53 in _execute: Using adhoc execute, logging for auditing purposes
[22.2845869064331055] 2019-11-10 15:48:12,854 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 54 in _execute: Query: SELECT USER.* FROM USER INNER JOIN USER_SONG ON USER.ID = USER_SONG.ID WHERE USER_SONG.URL = %s, Params: ['https://www.youtube.com/watch?v=hwCLVBCNIt0']
[22.3028357028961182] 2019-11-10 15:48:12,873 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 60 in _execute: [SQL] [EXECUTE] SELECT USER.* FROM USER INNER JOIN USER_SONG ON USER.ID = USER_SONG.ID WHERE USER_SONG.URL = %s
[22.3033900260925293] 2019-11-10 15:48:12,873 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 61 in _execute: [VALUES] [EXECUTE] ['https://www.youtube.com/watch?v=hwCLVBCNIt0']
[22.3053026199340820] 2019-11-10 15:48:12,875 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 53 in _execute: Using adhoc execute, logging for auditing purposes
[22.3056697845458984] 2019-11-10 15:48:12,876 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 54 in _execute: Query: SELECT USER.* FROM USER INNER JOIN USER_SONG ON USER.ID = USER_SONG.ID WHERE USER_SONG.URL = %s, Params: ['https://www.youtube.com/watch?v=Ib6xG8iyVRE']
[22.3239772319793701] 2019-11-10 15:48:12,894 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 60 in _execute: [SQL] [EXECUTE] SELECT USER.* FROM USER INNER JOIN USER_SONG ON USER.ID = USER_SONG.ID WHERE USER_SONG.URL = %s
[22.3245379924774170] 2019-11-10 15:48:12,894 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 61 in _execute: [VALUES] [EXECUTE] ['https://www.youtube.com/watch?v=Ib6xG8iyVRE']
[22.3263108730316162] 2019-11-10 15:48:12,896 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 53 in _execute: Using adhoc execute, logging for auditing purposes
